table_name,column_name,description,expected_data_type,sensitivity_hint
GL_CONTROL_TOTAL,LOAD_TIMESTAMP,Timestamp at which the control record was loaded into RAW.,TIMESTAMP_NTZ,INTERNAL
TRANSACTIONS,TRANSACTION_ID,Unique identifier for an account transaction posting.,VARCHAR(30),INTERNAL
TRANSACTIONS,ACCOUNT_ID,Identifier of the account affected by the transaction.,VARCHAR(20),INTERNAL
TRANSACTIONS,CUSTOMER_ID,Identifier of the customer associated with the transaction account.,VARCHAR(20),INTERNAL
TRANSACTIONS,TRANSACTION_DATE,Date on which the transaction occurred.,DATE,INTERNAL
TRANSACTIONS,POSTING_DATE,Date on which the transaction was posted to the account.,DATE,INTERNAL
TRANSACTIONS,TRANSACTION_TYPE,Business classification of the transaction event.,VARCHAR(50),INTERNAL
TRANSACTIONS,TRANSACTION_CODE,Source or business code identifying the transaction type.,VARCHAR(30),INTERNAL
TRANSACTIONS,AMOUNT,Monetary amount of the transaction posting.,"NUMBER(18,2)",INTERNAL
TRANSACTIONS,CURRENCY,Currency code of the transaction amount.,VARCHAR(3),INTERNAL
TRANSACTIONS,DEBIT_CREDIT,Indicator specifying whether the posting is a debit or a credit.,VARCHAR(10),INTERNAL
TRANSACTIONS,CHANNEL,Channel through which the transaction was initiated.,VARCHAR(50),INTERNAL
TRANSACTIONS,MERCHANT_NAME,"Merchant or counterparty display name associated with the transaction, when applicable.",VARCHAR(250),INTERNAL
TRANSACTIONS,STATUS,Current processing status of the transaction.,VARCHAR(30),INTERNAL
TRANSACTIONS,REFERENCE,External or source reference associated with the transaction.,VARCHAR(1000),INTERNAL
TRANSACTIONS,MEMO,Free-form transaction memo supplied by the source system.,VARCHAR(2000),INTERNAL
TRANSACTIONS,BALANCE_AFTER_TRANSACTION,Account balance immediately after the transaction posting.,"NUMBER(18,2)",INTERNAL
TRANSACTIONS,LOAD_TIMESTAMP,Timestamp at which the transaction record was loaded into RAW.,TIMESTAMP_NTZ,INTERNAL
TRANSACTIONS,TRANSACTION_GROUP_ID,Identifier used to group related postings belonging to one logical transaction.,VARCHAR(50),INTERNAL
